info: ::ffff:127.0.0.1 - - [23/Feb/2023:03:43:18 +0000] "POST /api/v1/users HTTP/1.1" 201 333 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:03:43:18 +0000] "POST /api/v1/users HTTP/1.1" 400 122 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:03:43:18 +0000] "POST /api/v1/users/login HTTP/1.1" 200 813 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:03:43:18 +0000] "POST /api/v1/users/login HTTP/1.1" 400 64 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:03:43:18 +0000] "POST /api/v1/notes HTTP/1.1" 400 56 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:19:17 +0000] "POST /api/v1/users HTTP/1.1" 201 333 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:19:17 +0000] "POST /api/v1/users HTTP/1.1" 400 122 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:19:17 +0000] "POST /api/v1/users/login HTTP/1.1" 200 813 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:19:17 +0000] "POST /api/v1/users/login HTTP/1.1" 400 64 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:19:18 +0000] "POST /api/v1/notes HTTP/1.1" 201 300 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:20:10 +0000] "POST /api/v1/users HTTP/1.1" 201 333 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:20:10 +0000] "POST /api/v1/users HTTP/1.1" 400 122 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:20:10 +0000] "POST /api/v1/users/login HTTP/1.1" 200 813 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:20:10 +0000] "POST /api/v1/users/login HTTP/1.1" 400 64 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:20:40 +0000] "POST /api/v1/users HTTP/1.1" 201 333 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:20:40 +0000] "POST /api/v1/users HTTP/1.1" 400 122 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:20:40 +0000] "POST /api/v1/users/login HTTP/1.1" 200 813 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:20:40 +0000] "POST /api/v1/users/login HTTP/1.1" 400 64 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:20:40 +0000] "POST /api/v1/notes HTTP/1.1" 500 55 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:21:11 +0000] "POST /api/v1/users HTTP/1.1" 201 333 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:21:11 +0000] "POST /api/v1/users HTTP/1.1" 400 122 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:21:11 +0000] "POST /api/v1/users/login HTTP/1.1" 200 813 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:21:11 +0000] "POST /api/v1/users/login HTTP/1.1" 400 64 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:21:11 +0000] "POST /api/v1/notes HTTP/1.1" 201 300 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:24:46 +0000] "POST /api/v1/users HTTP/1.1" 201 333 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:24:46 +0000] "POST /api/v1/users HTTP/1.1" 400 122 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:24:46 +0000] "POST /api/v1/users/login HTTP/1.1" 200 813 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:24:46 +0000] "POST /api/v1/users/login HTTP/1.1" 400 64 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:24:46 +0000] "POST /api/v1/notes HTTP/1.1" 201 300 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:24:46 +0000] "POST /api/v1/notes HTTP/1.1" 400 56 "-" "node-superagent/3.8.3"

info: ::ffff:127.0.0.1 - - [23/Feb/2023:04:25:18 +0000] "POST /api/v1/users HTTP/1.1" 201 333 "-" "node-superagent/3.8.3"

